City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,strathaven,56,GB,1563513208,87,55.68,-4.07,57.99,8.05
87,colomi,40,BO,1563513208,46,-17.34,-65.87,53.6,6.93
88,kuching,75,MY,1563513208,62,1.56,110.34,89.6,3.36
89,villamontes,56,BO,1563513209,61,-21.26,-63.47,67.43,8.03
90,villablino,0,ES,1563513209,87,42.94,-6.32,57.99,1.12
91,barrow,0,AR,1563512726,56,-38.31,-60.23,40.07,8.43
92,rocha,100,UY,1563512942,95,-34.48,-54.34,53.21,2.13
93,mar del plata,67,AR,1563512771,65,-46.43,-67.52,40.61,18.28
94,camacha,40,PT,1563513111,73,33.08,-16.33,69.8,16.11
95,nishihara,75,JP,1563513094,70,35.74,139.53,89.01,14.99
96,hutchinson,1,US,1563513209,62,38.06,-97.93,87.01,18.34
97,pevek,21,RU,1563512701,91,69.7,170.27,33.41,3.0
98,la ronge,75,CA,1563513050,82,55.1,-105.3,62.6,5.82
99,lagoa,0,PT,1563512953,68,37.14,-8.45,71.6,4.7
100,virginia beach,75,US,1563513075,78,36.85,-75.98,82.99,5.82
101,leningradskiy,37,RU,1563513026,85,69.38,178.42,33.95,2.62
102,nanortalik,21,GL,1563512963,90,60.14,-45.24,41.33,2.06
103,shieli,0,KZ,1563513097,14,44.18,66.74,101.27,17.96
104,saint-philippe,1,CA,1563512971,73,45.36,-73.48,77.0,6.93
105,airai,12,TL,1563512957,56,-8.93,125.41,82.37,4.76
106,bluff,0,AU,1563512951,34,-23.58,149.07,66.53,10.36
107,new norfolk,20,AU,1563512978,44,-42.78,147.06,57.99,18.34
108,khatanga,55,RU,1563512963,31,71.98,102.47,70.31,9.28
109,port elizabeth,1,US,1563512960,100,39.31,-74.98,79.0,4.7
110,brae,20,GB,1563513036,93,60.4,-1.35,55.4,9.17
111,altagracia de orituco,100,VE,1563513211,96,9.86,-66.38,66.89,1.21
112,buala,92,SB,1563513211,80,-8.15,159.59,81.47,9.46
113,hensies,20,BE,1563513211,82,50.43,3.68,62.01,8.05
114,sitka,39,US,1563512963,61,37.17,-99.65,84.0,10.0
115,chokurdakh,100,RU,1563512678,74,70.62,147.9,42.41,10.42
116,ahipara,100,NZ,1563512740,71,-35.17,173.16,58.79,18.01
117,jatai,71,IN,1563513212,49,28.97,76.18,93.89,7.49
118,caravelas,21,BR,1563512954,75,-17.73,-39.27,69.77,9.15
119,mayo,90,CA,1563513085,36,63.59,-135.9,77.0,3.36
120,norman wells,20,CA,1563512677,46,65.28,-126.83,73.4,6.93
121,iztapa,100,GT,1563513212,91,13.93,-90.71,75.71,5.53
122,iwaki,75,JP,1563513212,78,37.05,140.89,78.8,16.11
123,burnie,37,AU,1563512906,50,-41.05,145.91,55.99,17.0
124,nikki,100,BJ,1563513213,94,9.94,3.21,71.39,6.44
125,kruisfontein,66,ZA,1563513022,84,-34.0,24.73,52.67,33.73
126,kaeo,100,NZ,1563512979,88,-35.1,173.78,55.0,3.0
127,fethiye,0,TR,1563513213,83,36.62,29.12,75.2,1.12
128,touros,20,BR,1563513050,94,-5.2,-35.46,69.8,5.82
129,souillac,90,FR,1563512955,88,45.6,-0.6,64.99,4.7
130,roseburg,1,US,1563513213,81,43.22,-123.34,63.0,11.41
131,kingman,1,US,1563513165,17,35.19,-114.05,102.2,8.05
132,kavieng,2,PG,1563513017,75,-2.57,150.8,83.99,14.65
133,wajir,40,KE,1563513213,83,1.75,40.07,73.4,9.17
134,presidencia roque saenz pena,68,AR,1563512927,97,-26.79,-60.44,57.89,3.94
135,clyde river,90,CA,1563513036,100,70.47,-68.59,35.6,4.7
136,cabo san lucas,5,MX,1563512823,61,22.89,-109.91,87.8,13.87
137,busselton,62,AU,1563512959,91,-33.64,115.35,60.01,4.0
138,faanui,36,PF,1563513005,64,-16.48,-151.75,75.89,15.64
139,marawi,63,PH,1563512953,73,8.0,124.29,84.99,7.0
140,syracuse,1,US,1563513032,100,43.05,-76.15,73.99,7.67
141,krosno,0,PL,1563513214,82,49.69,21.77,64.0,1.12
142,castro,90,CL,1563512966,100,-42.48,-73.76,48.2,27.51
143,haimen,55,CN,1563513215,77,31.87,121.18,90.0,3.0
144,dingle,80,PH,1563512795,73,11.0,122.67,85.97,15.66
145,juba,100,EE,1563513215,93,57.82,26.93,57.99,9.17
146,idrinskoye,49,RU,1563513215,63,54.37,92.14,71.75,5.37
147,rawson,100,AR,1563512981,50,-43.3,-65.11,46.73,28.25
148,luderitz,0,NA,1563513105,66,-26.65,15.16,53.6,4.7
149,tiarei,20,PF,1563512974,57,-17.53,-149.33,75.2,4.7
150,thompson,90,CA,1563512991,77,55.74,-97.86,64.4,2.24
151,vogar,40,IS,1563513215,87,63.98,-22.39,54.0,16.11
152,broome,0,GB,1563513021,93,52.47,1.45,55.99,4.7
153,dese,0,IT,1563513216,77,45.53,12.3,69.01,2.24
154,mantua,0,IT,1563513216,82,45.16,10.79,71.01,5.82
155,belyy yar,0,RU,1563513216,50,53.6,91.39,77.0,8.95
156,avarua,21,CK,1563512968,88,-21.21,-159.78,73.4,4.7
157,hohhot,75,CN,1563513216,88,40.81,111.65,69.8,6.71
158,vardo,1,US,1563512954,88,39.62,-77.74,77.0,2.8
159,vaini,75,IN,1563512699,78,15.34,74.49,77.0,3.36
160,dongsheng,13,CN,1563513217,67,29.72,112.52,89.03,9.35
161,banjarmasin,97,ID,1563513072,72,-3.32,114.59,84.53,4.94
162,hasaki,75,JP,1563512723,66,35.73,140.83,91.0,10.29
163,roald,90,NO,1563513006,93,62.58,6.12,59.0,4.7
164,shuangyashan,2,CN,1563513217,55,46.64,131.15,82.37,3.49
165,preston,40,GB,1563513179,93,53.76,-2.71,59.0,6.93
166,almeirim,35,BR,1563513218,97,-1.53,-52.58,71.21,2.46
167,xai-xai,0,MZ,1563513121,51,-25.04,33.64,63.83,12.15
168,pangody,13,RU,1563513035,36,65.85,74.49,88.49,14.9
169,salalah,75,OM,1563512968,88,17.01,54.1,80.6,2.24
170,ugoofaaru,100,MV,1563513218,76,5.67,73.0,83.99,21.9
171,krupina,0,SK,1563513218,93,48.35,19.07,55.4,1.12
172,walvis bay,0,NA,1563513044,87,-22.95,14.51,55.4,8.34
173,bondowoso,62,ID,1563513219,69,-7.91,113.82,75.89,3.74
174,anadyr,75,RU,1563512964,68,64.73,177.51,64.4,6.71
175,victoria,75,BN,1563512954,62,5.28,115.24,91.4,4.7
176,torbay,40,CA,1563512975,67,47.66,-52.73,57.99,14.99
177,grand gaube,75,MU,1563512994,69,-20.01,57.66,73.4,13.87
178,high prairie,100,CA,1563513176,98,55.43,-116.48,50.69,10.94
179,snasa,0,NO,1563513219,72,64.25,12.38,64.4,13.87
180,primorsk,98,RU,1563513219,93,60.37,28.62,57.99,8.99
181,puerto escondido,75,MX,1563513219,88,15.86,-97.07,77.0,5.82
182,port hawkesbury,1,CA,1563513220,62,45.62,-61.36,63.0,4.7
183,sao joao da barra,8,BR,1563513028,88,-21.64,-41.05,55.73,0.85
184,anzio,0,IT,1563513220,88,41.45,12.63,72.0,3.36
185,chuy,100,UY,1563513031,94,-33.69,-53.46,52.85,3.09
186,port lincoln,0,AU,1563513220,60,-34.72,135.86,58.25,16.78
187,labuhan,97,ID,1563512784,72,-2.54,115.51,83.27,1.92
188,aljezur,0,PT,1563513221,72,37.31,-8.8,69.01,11.12
189,ancud,90,CL,1563512983,100,-41.87,-73.83,48.2,27.51
190,pisco,75,PE,1563512976,87,-13.71,-76.2,57.2,4.7
191,atuona,1,PF,1563512952,67,-9.8,-139.03,80.03,4.14
192,luige,0,EE,1563513221,72,59.33,24.78,66.99,6.93
193,isiro,15,CD,1563513221,94,2.77,27.62,71.03,1.54
194,youghal,75,IE,1563513221,100,51.95,-7.85,60.01,2.24
195,beringovskiy,95,RU,1563512969,80,63.05,179.32,58.25,2.1
196,bilma,64,NE,1563513123,21,18.69,12.92,92.27,7.7
197,japura,88,ID,1563513222,45,-0.42,102.29,89.75,5.41
198,homer,1,US,1563513222,68,59.64,-151.54,66.99,8.05
199,bambous virieux,75,MU,1563512962,69,-20.34,57.76,73.4,13.87
200,provideniya,75,RU,1563512959,87,64.42,-173.23,59.0,8.95
201,george town,75,MY,1563513222,70,5.42,100.33,87.8,11.41
202,saint anthony,1,US,1563513031,43,43.97,-111.68,73.4,12.75
203,clive,1,US,1563513222,74,41.61,-93.78,86.0,11.41
204,samana,10,EC,1563513223,99,0.12,-76.97,66.53,1.34
205,great malvern,20,GB,1563513223,93,52.11,-2.33,60.01,7.83
206,chibombo,0,ZM,1563513223,62,-14.68,28.09,58.07,4.23
207,lanzhou,40,CN,1563513223,77,36.06,103.82,64.4,8.95
208,staritsa,45,RU,1563513223,83,56.51,34.93,60.23,1.07
209,porto empedocle,14,IT,1563513224,90,37.29,13.53,69.01,2.64
210,buraydah,0,SA,1563512948,35,26.33,43.97,84.2,6.93
211,diebougou,100,BF,1563513224,83,10.97,-3.25,74.99,4.92
212,payo,65,ID,1563513224,49,-3.75,103.64,83.45,6.8
213,mahebourg,75,MU,1563512911,69,-20.41,57.7,73.99,13.87
214,letnyaya stavka,94,RU,1563513224,61,45.43,43.44,73.73,7.16
215,baiyin,40,CN,1563513225,77,36.55,104.13,64.4,8.95
216,hammerfest,0,NO,1563513225,59,70.66,23.68,62.6,13.87
